NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 2.7,Barra D’Anta,A2,Superfície,I,Indeterminado,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 2.8,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca de formatação,Linear,Sem preparação,Com formação de lábio,Difuso,2,Ortogonal,Retilíneo,,,,,,,
Ant 2.9,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Queima/Alteração de cor,1 a 2 cm,3 a 4 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 2.10,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 2.11,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Instrumento,Seixo,Sem alteração,5 a 6 cm,3 a 4 cm,1 a 2 cm,,,,,,,,,,,,Unifacial,Indeterminado,0,Indeterminado
Ant 2.12,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Quartzito,Lasca,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 2.13,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,4 a 5 cm,3 a 4 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Difuso,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 2.14,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 2.15,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 2.16,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,3 a 4 cm,2 a 3 cm,0 a 1 cm,Lasca de formatação,Indeterminado,Indeterminado,Indeterminado,Indeterminado,4 ou +,Ortogonal,Helicoidal,,,,,,,
