TN,X,Y,Z,descricao
TN-284,655852141,6946180930,681505,Terreno
TN-285,655847560,6946177970,681192,Terreno
TN-286,655894102,6946158990,677316,Terreno
TN-290,655910598,6946164881,677208,Terreno
TN-291,655910595,6946164899,677207,Terreno
TN-292,655917816,6946173899,677152,Terreno
TN-293,655926385,6946183580,677374,Terreno
TN-294,655934599,6946190406,678074,Terreno
TN-295,655945579,6946199178,678628,Terreno
TN-296,655939237,6946202567,679946,Terreno
TN-297,655932328,6946204196,681905,Terreno
TN-298,655925310,6946201550,682739,Terreno
TN-299,655925189,6946195117,680381,Terreno
TN-300,655922479,6946188823,678981,Terreno
TN-301,655917182,6946181082,678057,Terreno
TN-302,655914165,6946185373,680427,Terreno
TN-303,655913060,6946178564,678497,Terreno
TN-304,655908337,6946172550,677806,Terreno
TN-305,655899790,6946168557,677864,Terreno
TN-306,655898797,6946177627,680054,Terreno
TN-307,655904382,6946177227,679352,Terreno
TN-50,655858551,6946262094,689889,Terreno
TN-51,655866658,6946263307,690768,Terreno
TN-52,655869405,6946270134,693425,Terreno
TN-53,655862759,6946276479,693833,Terreno
TN-54,655860386,6946275540,693787,Terreno
TN-55,655856391,6946278701,695503,Terreno
TN-56,655860051,6946277960,696065,Terreno
TN-57,655863040,6946278817,696796,Terreno
TN-58,655872668,6946277698,697718,Terreno
TN-59,655877494,6946279499,698804,Terreno
TN-60,655881310,6946277834,697267,Terreno
TN-61,655885661,6946278413,697420,Terreno
TN-62,655890211,6946278999,697134,Terreno
TN-63,655888728,6946283946,699559,Terreno
TN-64,655889482,6946287913,700984,Terreno
TN-65,655888818,6946291999,701761,Terreno
TN-66,655909370,6946295006,702721,Terreno
TN-67,655877229,6946268814,692583,Terreno
TN-68,655877013,6946270485,693460,Terreno
TN-69,655883933,6946270079,692937,Terreno
TN-70,655891471,6946270792,692917,Terreno
TN-71,655899134,6946272246,692570,Terreno
TN-72,655905871,6946274018,692674,Terreno
TN-73,655910268,6946274738,692726,Terreno
TN-74,655911851,6946278419,693910,Terreno
TN-75,655913512,6946281330,695138,Terreno
TN-76,655915042,6946283716,695881,Terreno
TN-77,655915031,6946286546,697514,Terreno
TN-78,655919110,6946286484,697053,Terreno
TN-79,655922547,6946287211,697079,Terreno
TN-80,655924624,6946284868,695744,Terreno
TN-81,655919662,6946283308,695382,Terreno
TN-82,655919356,6946278321,693716,Terreno
TN-83,655925839,6946278160,693712,Terreno
TN-84,655930149,6946281797,694728,Terreno
TN-85,655934826,6946286228,695990,Terreno
TN-86,655941699,6946286938,695153,Terreno
TN-87,655946209,6946283097,693873,Terreno
TN-88,655951473,6946287926,694770,Terreno
TN-89,655953579,6946281841,693672,Terreno
TN-90,655958923,6946286421,694752,Terreno
TN-91,655964676,6946289106,695676,Terreno
TN-92,655971877,6946288039,695779,Terreno
TN-93,655970684,6946281828,694025,Terreno
TN-94,655968762,6946276668,693006,Terreno
TN-95,655967352,6946272070,691743,Terreno
TN-96,655972773,6946272155,690962,Terreno
TN-97,655975761,6946276817,691544,Terreno
TN-98,655979564,6946280674,692044,Terreno
TN-99,655976693,6946273492,690627,Terreno
